Link,Title,Intro
https://www.securityweek.com/chrome-firefox-users-exposed-unicode-domain-phishing,"Chrome, Firefox Users Exposed to Unicode Domain Phishing","Chrome, Firefox and Opera expose their users to phishing attacks that rely on Unicode domain names  [Read More]"
https://www.securityweek.com/firefox-adds-improved-download-protection,Firefox Adds Improved Download Protection,Mozilla said that download protection in Firefox 48 has ben expanded to include potentially unwanted software and uncommon downloads.  [Read More]
https://www.securityweek.com/fileless-trojan-kovter-poses-firefox-update,Fileless Trojan Kovter Poses as Firefox Update,A new version of the Kovter ad Trojan was recently observed to pose as a Firefox update while abusing a legitimate certificate to ensure successful infection.  [Read More]
https://www.securityweek.com/improved-malware-protection-introduced-firefox-browser,Improved Malware Protection Introduced in Firefox Browser,"Starting with Firefox 31, the malware detection mechanism integrated into the Web browser has been expanded to include downloaded files, Mozilla announced on Wednesday.  [Read More]"
https://www.securityweek.com/mozilla-firefox-beta-mandates-use-secure-connections-certain-sites,Mozilla Firefox Beta Mandates Use of Secure Connections for Certain Sites,"Mozilla is following in the footsteps of Google Chrome with its use of HSTS, a mechanism where a webserver declares that a web browser can only interact with it using secure connections such as HTTPS.  [Read More]"
https://www.securityweek.com/test-shows-ie9-beats-chrome-safari-firefox-overall-malware-detection,"Test Shows IE9 Beats Chrome, Safari, Firefox in Overall Malware Detection","In a recent test conducted by NSS Labs, Internet Explorer performed the best, blocking 95 percent of malicious activity  [Read More]"
https://www.securityweek.com/adobe-offer-silent-updates-mac-os-and-protection-firefox,Adobe to Offer Silent Updates for Mac OS and Protection on Firefox,"Version 11.3 of Adobe’s Flash Player, due in June, will provide the same silent update feature currently available to Windows users to those running OS X. In addition, Adobe will also offer a new security enhancement to Firefox called protected mode.  [Read More]"
https://www.securityweek.com/firefox-gets-click-play-plugin-additional-layer-security,"Firefox Adds ""Click-to-play"" Plugin as Additional Layer of Security","When enabled, “click-to-play” will require Firefox plugins to have an additional click – or manual activation – before rendering Web content.  [Read More]"
https://www.securityweek.com/password-stealing-firefox-add-surfaces,Password Stealing Firefox Add-On Surfaces,A malicious Firefox add-on was discovered this week that managed to be uploaded to and hosted on the official Mozilla Add-ons site.  [Read More]
/vinfo/us/threat-encyclopedia/spam/242/fake-mozilla-firefox-8-update-email-leads-to-malware,Fake Mozilla Firefox 8 Update Email Leads to Malware,"Trend Micro researchers recently received a mail notification that advertises the new Mozilla Firefox 8.0, purportedly from Mozilla Firefox.Read more   "
