Link,Title,Intro
/vinfo/us/security/news/cybercrime-and-digital-threats/new-ios-malware-acedeceiver-could-be-a-threat-even-to-non-jailbroken-iphone-users,"New iOS Malware ""AceDeceiver"" Could Be A Threat Even to Non-Jailbroken iPhone Users","A new iOS malware that exploits Apple DRM flaws has been discovered—and it's one that could potentially affect “any device,” even non-jailbroken ones. "
/vinfo/us/security/news/cybercrime-and-digital-threats/7-cybercrime-scenarios-you-should-avoid,7 Cybercrime Scenarios You Should Avoid,"The most common cybercrime scenarios that users need to be wary of, and how to avoid them. "
https://www.securityweek.com/pos-malware-hits-avanti-payment-kiosks,PoS Malware Hits Avanti Payment Kiosks,Cybercriminals used PoSeidon PoS malware to steal payment card and biometric data from Avanti kiosks  [Read More]
https://www.securityweek.com/ios-malware-acedeceiver-exploits-flaw-apple-drm,"iOS Malware ""AceDeceiver"" Exploits Flaw in Apple DRM",A new iOS malware family dubbed AceDeceiver leverages design flaws in Apple’s FairPlay DRM technology to infect devices  [Read More]
https://www.securityweek.com/rogue-app-store-targets-non-jailbroken-ios-devices,Rogue App Store Targets Non-Jailbroken iOS Devices,"Researchers from Proofpoint say they recently discovered a rogue app store that lets iOS device users download apps from a catalog offering more than 1 million apps, without having to jailbreak their device.  [Read More]"
https://www.securityweek.com/mac-os-x-and-ios-infections-and-threats-rise-symantec,Mac OS X and iOS Infections and Threats on the Rise: Symantec,"The number of Mac OS X systems infected with malware during the first nine months of 2015 is seven times higher than in all of 2014, Symantec reports.  [Read More]"
https://www.securityweek.com/xcodeghost-malware-updated-target-ios-9,XcodeGhost Malware Updated to Target iOS 9,"XcodeGhost compiler malware updated with iOS 9 support. Infections spotted in US enterprises, FireEye warns.  [Read More]"
https://www.securityweek.com/keyraider-ios-malware-targets-apple-accounts,"""KeyRaider"" iOS Malware Targets Apple Accounts","KeyRaider iOS malware used to steal credentials for 225,000 Apple accounts. Stolen data used for malicious jailbreak tweaks.  [Read More]"
https://www.securityweek.com/cyber-espionage-group-adds-ios-spyware-its-arsenal-trend-micro,Cyber Espionage Group Adds iOS Spyware to Its Arsenal: Trend Micro,iOS spyware used by the Pawn Storm cyber espionage group to steal valuable information from targets.  [Read More]
https://www.securityweek.com/majority-top-100-paid-ios-android-apps-have-hacked-versions-report,"Majority of Top 100 Paid iOS, Android Apps Have Hacked Versions: Report","According to a report from Arxan Technologies, hacked versions of 97% of the top 100 paid Android apps and 87% of the top 100 paid Apple iOS apps appear in unofficial app stores and app distribution sites.  [Read More]"
https://www.securityweek.com/feedback-friday-wirelurker-malware-targets-mac-os-x-ios-industry-reactions,"Feedback Friday: WireLurker Malware Targets Mac OS X, iOS - Industry Reactions",Researchers at Palo Alto Networks identified a piece of malware called WireLurker that was designed to target Mac OS X and iOS users. Experts believe WireLurker once again shows that Apple devices are not immune to malware.  [Read More]
https://www.securityweek.com/new-wirelurker-malware-targets-ios-mac-os-x-users-trojanized-applications,"New ""WireLurker"" Malware Targets iOS, Mac OS X Users via Trojanized Applications",Researchers at Palo Alto Networks have uncovered a new piece of malware designed to target devices running Apple's OS X and iOS operating systems and might have been installed by hundreds of thousands of users.  [Read More]
https://www.securityweek.com/chinese-government-suspected-using-ios-android-rats-against-protesters,"Chinese Government Suspected of Using iOS, Android RATs Against Protesters",Security researchers have uncovered two pieces of mobile malware appearing to be used by the Chinese government to keep a close eye on pro-democracy protesters.  [Read More]
https://www.securityweek.com/sneaky-ios-malware-surfaces-app-store-says-kaspersky,"Sneaky iOS (Malware?) Surfaces in App Store, Says Kaspersky",Kaspersky Lab researchers are saying they have discovered an iOS app that they are outright calling malware based upon the fact that it grabs a users phonebook details (without first notifying the user) and sends spam SMS messages.  [Read More]
https://www.securityweek.com/mcafee-discovers-new-bios-rootkit,McAfee Discovers New BIOS Rootkit,"After MyBios (Mebromi) became the first malware to successfully infect the Award BIOS and survive a reboot to own the system, BIOS-based rootkits became the toast of the malware research community  [Read More]"
https://www.securityweek.com/fbi-denies-antisec-claims-ios-related-privacy-violations,FBI Denies AntiSec Claims of iOS Related Privacy Violations,"The FBI has issued a flat-out denial on the claims made Tuesday by AntiSec, which said the law enforcement agency was hoarding personal information on some 12 million Apple customers. However, the statement leads to more questions than answers.  [Read More]"
https://www.securityweek.com/hp-dell-halt-bios-updates-over-buggy-cpu-patches,"HP, Dell Halt BIOS Updates Over Buggy CPU Patches","Dell, HP and others have removed BIOS updates that patch the Meltdown and Spectre vulnerabilities due to unstable code delivered by Intel  [Read More]"
https://www.securityweek.com/device-manufacturers-working-bios-updates-patch-cpu-flaws,Device Manufacturers Working on BIOS Updates to Patch CPU Flaws,"Acer, Asus, Dell, Fujitsu, HP, IBM, Lenovo and other device manufacturers start releasing BIOS updates to patch Meltdown and Spectre CPU vulnerabilities  [Read More]"
https://www.securityweek.com/new-cisco-app-helps-organizations-secure-ios-devices,New Cisco App Helps Organizations Secure iOS Devices,"Cisco announces availability of Security Connector, an iOS app that gives organizations visibility and control for mobile devices  [Read More]"
https://www.securityweek.com/google-researcher-releases-ios-11-jailbreak-exploit,Google Researcher Releases iOS 11 Jailbreak Exploit,Google’s Ian Beer releases iOS 11 exploit that can be used for jailbreaks to help security researchers analyze Apple devices  [Read More]
https://www.securityweek.com/enterprises-blacklist-ios-apps-due-data-leakage-report,Enterprises Blacklist iOS Apps Due to Data Leakage: Report,Appthority report reveals which iOS and Android apps are the most blacklisted by security teams  [Read More]
https://www.securityweek.com/apples-ios-and-googles-android-creating-game-changing-shift-enterprise-mobile-technology,Apple's iOS and Google's Android Creating a Game Changing Shift in Enterprise Mobile Technology,"The shift is being powered by Apple's new iOS4 and Android 2.2 OS, which not only offer useful features for mainstream customers but also come with enterprise-class functionality such as unified email, Wi-Fi hotspot capabilities and improved security functions, apart from a massive tapestry of business centric applications.  [Read More]"
https://www.securityweek.com/veracode-expands-mobile-app-verification-service-android-and-ios,Veracode Expands Mobile App Verification Service to Android and iOS,Service for Independent Application Security Verification Expands Support to Android and Apple’s iOS to Protect Enterprises from Mobile App Risks  [Read More]
https://www.securityweek.com/more-cios-planning-hire-first-quarter-2011,More CIOs Planning to Hire in First Quarter of 2011,"In the first quarter of 2011, 11 percent of Chief Information Officers (CIOs) said they plan to add information technology (IT), and just 3 percent foresee cutbacks.  [Read More]"
https://www.securityweek.com/apple-fixes-indian-character-crash-bug-ios-macos,"Apple Fixes Indian Character Crash Bug in iOS, macOS",Apple updates iOS and macOS to patch flaw that causes devices to crash when displaying certain strings of Indian characters  [Read More]
https://www.securityweek.com/google-discloses-critical-wi-fi-flaws-affecting-ios-android,"Google Discloses Critical Wi-Fi Flaws Affecting iOS, Android",Google discloses critical remote code execution vulnerabilities affecting the Wi-Fi chips found in iOS and Android devices  [Read More]
https://www.securityweek.com/threat-report-says-1-50-ios-apps-could-leak-data,Threat Report Says 1 in 50 iOS Apps Could Leak Data,A new global threat report for the mobile ecosystem shows that 1 in 50 iOS apps used in enterprise environments could potentially leak sensitive data.  [Read More]
https://www.securityweek.com/poc-released-dangerous-ios-kernel-exploit,PoC Released for Dangerous iOS Kernel Exploit,PoC released for recently patched iOS kernel vulnerabilities that can be chained to take full control of a device. Exploit also good for jailbreaks  [Read More]
https://www.securityweek.com/third-party-app-store-slips-inside-ios-app-store,Third-Party App Store Slips Inside iOS App Store,"A third-party app store application managed to slip into the official iOS App Store by masquerading as a legitimate financial helper application, according to Trend Micro researchers.  [Read More]"
https://www.securityweek.com/hackers-can-intercept-data-popular-ios-apps,Hackers Can Intercept Data From Popular iOS Apps,Researchers found 76 popular iOS applications that allow attackers to silently intercept TLS-protected data  [Read More]
https://www.securityweek.com/apple-extends-https-deadline-ios-apps,Apple Extends HTTPS Deadline for iOS Apps,"Apple had wanted all iOS apps to use HTTPS by the end of the year, but it has now extended the deadline indefinitely  [Read More]"
https://www.securityweek.com/mozilla-launches-privacy-focused-browser-ios,Mozilla Launches Privacy-Focused Browser for iOS,"Mozilla this week released Firefox Focus for iOS, a mobile web browser designed with a single idea in mind: to increase the level of privacy that users benefit from.  [Read More]"
https://www.securityweek.com/ios-lockscreen-bypass-gives-access-contacts-photos,"iOS Lockscreen Bypass Gives Access to Contacts, Photos",A new iOS lockscreen bypass technique gives access to contacts and photos on iPhones and iPads  [Read More]
https://www.securityweek.com/trident-ios-vulnerabilities-fully-dissected,Trident iOS Vulnerabilities Fully Dissected,"The recently disclosed ""Trident"" 0-day vulnerabilities that put owners of iOS devices were patched in August, but the full technical details on them have been released only this week.  [Read More]"
https://www.securityweek.com/ios-10s-safari-doesn%E2%80%99t-keep-private-browsing-private,iOS 10's Safari Doesn’t Keep Private Browsing Private,"The Safari browser in iOS 10 no longer offers the same level of privacy as before when it comes to Private Browsing, a researcher has discovered.  [Read More]"
https://www.securityweek.com/apple-patches-7-flaws-release-ios-10,Apple Patches 7 Flaws With Release of iOS 10,"Apple has patched several vulnerabilities with the release of iOS 10, Xcode 8 and watchOS 3  [Read More]"
https://www.securityweek.com/apple-issues-emergency-fix-ios-zero-days-what-you-need-know,Apple Issues Emergency Fix for iOS Zero-Days: What You Need to Know,"Apple has fixed vulnerabilities exploited by a piece of high-end surveillance software, which researchers classify as “the most sophisticated attack seen on any endpoint.  [Read More]"
https://www.securityweek.com/apple-wants-all-ios-apps-use-https-2017,Apple Wants All iOS Apps to Use HTTPS by 2017,Apple wants all iOS applications on the official App Store to use secure HTTPS connections by the end of 2016  [Read More]
