Link,Title,Intro
/vinfo/us/threat-encyclopedia/spam/3507/whatsapp-acquisition-by-facebook-employed-for-spam-attack,WhatsApp Acquisition by Facebook Employed for Spam Attack,"Facebook has recently announced its acquisition of popular application, WhatsApp. Spammers are quick to leverage this news and create spammed messages that lead to a malware.Read more   "
/vinfo/us/threat-encyclopedia/spam/527/spammers-use-fake-whatsapp-notification-to-lead-users-to-malware,Spammers Use Fake WhatsApp Notification To Lead Users to Malware,"Cybercriminals are always on the heels of anything popular, anything that can hook users. In this spammed message, cybercriminals use WhatsApp, an instant messaging app available for iOS and Android.Read more   "
https://www.securityweek.com/whatsapp-co-founder-invests-50-million-signal,WhatsApp Co-founder Invests $50 Million in Signal,"Signal announces the launch of the Signal Foundation with a $50 million investment from Brian Acton, the co-founder of WhatsApp  [Read More]"
https://www.securityweek.com/security-experts-raise-flags-over-whatsapp,Security Experts Raise Flags over WhatsApp,Security researchers and others point out that there may be vulnerabilities in the system used by some 450 million WhatsApp users globally.  [Read More]
https://www.securityweek.com/facebook-whatsapp-both-put-under-notice-europe,"Facebook, WhatsApp Both Put Under Notice by Europe","The French privacy regulator, the National Commission of Computing and Freedoms (CNIL) has issued a formal notice on WhatsApp.  [Read More]"
https://www.securityweek.com/whatsapp-telegram-patch-account-hijacking-vulnerability,"WhatsApp, Telegram Patch Account Hijacking Vulnerability",Vulnerability in the web versions of WhatsApp and Telegram allowed hackers to hijack accounts by sending a malicious file to the targeted user  [Read More]
https://www.securityweek.com/no-backdoor-whatsapp-can-snoop-encrypted-conversations,"No Backdoor, but WhatsApp Can Snoop Encrypted Conversations","A report emerged on Friday that the popular mobile messaging app WhatsApp packs a backdoor allowing its operator (Facebook) to tap into users’ end-to-end encrypted conversations, but experts have refuted the claim as an exaggeration and F.U.D.  [Read More]"
https://www.securityweek.com/eu-regulators-raise-concerns-over-yahoo-and-whatsapp,EU Regulators Raise Concerns over Yahoo and WhatsApp,European data protection regulators have written to both WhatsApp and Yahoo.  [Read More]
https://www.securityweek.com/germany-blocks-whatsapp-data-transfers-facebook,Germany Blocks WhatsApp Data Transfers to Facebook,"German data protection authorities have blocked Facebook from collecting subscriber data from its subsidiary WhatsApp, citing privacy concerns.  [Read More]"
https://www.securityweek.com/whatsapp-toughens-encryption-after-apple-fbi-row,WhatsApp Toughens Encryption After Apple-FBI Row,"WhatsApp has implemented ""full end-to-end encryption,"" a move which steps up privacy but may lead to conflicts with law enforcement agencies.  [Read More]"
https://www.securityweek.com/whatsapp-messages-get-end-end-encryption,WhatsApp Messages Get End-to-End Encryption,An online privacy tool endorsed by Edward Snowden is being used to protect WhatsApp messages from snooping by encrypting them as they travel the Internet.  [Read More]
https://www.securityweek.com/saudi-threatens-ban-whatsapp-viber-and-skype-sources,"Saudi Threatens to Ban WhatsApp, Viber and Skype: Sources","Sources say Internet messenger applications such as Skype, Viber and WhatsApp face being banned in Saudi Arabia if operators fail to allow authorities in the kingdom to censor them.  [Read More]"
https://www.securityweek.com/vcard-vulnerability-exposes-whatsapp-users,vCard Vulnerability Exposes WhatsApp Users,A vulnerability discovered in WhatsApp Web can be exploited by attackers to trick users into executing arbitrary code on their machines.  [Read More]
