,Link,Title,Intro
0,https://www.securityweek.com/one-million-exposed-adware-hijacked-chrome-extension,One Million Exposed to Adware via Hijacked Chrome Extension,Over one million users were exposed to adware after the developer of a highly popular Chrome extension fell victim to a phishing attack.  [Read More]
1,https://www.securityweek.com/chrome-firefox-users-exposed-unicode-domain-phishing,"Chrome, Firefox Users Exposed to Unicode Domain Phishing","Chrome, Firefox and Opera expose their users to phishing attacks that rely on Unicode domain names  [Read More]"
2,https://www.securityweek.com/anti-phishing-feature-beta-version-google-chrome-poses-security-risks-researchers,Anti-Phishing Feature in Beta Version of Google Chrome Poses Security Risks: Researchers,The new anti-phishing feature currently being tested in the experimental version of Google Chrome does not work as well as intended and poses security risks.  [Read More]
3,https://www.securityweek.com/malicious-chrome-extensions-targeting-facebook,Malicious Chrome Extensions Targeting Facebook,Researchers at Kaspersky Labs have found examples of malicious Chrome applications targeting Facebook users in Brazil.  [Read More]
4,https://www.securityweek.com/half-million-impacted-four-malicious-chrome-extensions,Half Million Impacted by Four Malicious Chrome Extensions,"Four malicious Chrome extensions managed to infect over half a million users worldwide, including employees of major organizations, ICEBRG reports.  [Read More]"
5,https://www.securityweek.com/fake-chrome-font-update-attack-distributes-backdoor,Fake Chrome Font Update Attack Distributes Backdoor,A malicious campaign targeting users of the Chrome web browser on Windows systems recently started distributing a remote access Trojan.  [Read More]
6,https://www.securityweek.com/one-million-exposed-adware-hijacked-chrome-extension,One Million Exposed to Adware via Hijacked Chrome Extension,Over one million users were exposed to adware after the developer of a highly popular Chrome extension fell victim to a phishing attack.  [Read More]
7,https://www.securityweek.com/fake-chrome-font-update-attack-distributes-ransomware,Fake Chrome Font Update Attack Distributes Ransomware,A malware campaign targeting Chrome users with fake font update notifications is now distributing ransomware instead of ad fraud malware.  [Read More]
8,https://www.securityweek.com/chrome-users-targeted-malware-campaign,Chrome Users Targeted in Malware Campaign,A recently observed malware distribution campaign has been specifically devised to target users of the Chrome browser on Windows-based computers.  [Read More]
9,https://www.securityweek.com/malicious-youtube-pages-targeting-chrome-users,Malicious YouTube Pages Targeting Chrome Users,"Researchers at Zscaler have discovered a fake YouTube page that is hosting malicious Chrome extensions. Such pages, as seen in the past, prey on the uninformed users with poorly patched systems to spread malware.  [Read More]"
10,https://www.securityweek.com/google-boosts-extension-protections-chrome,Google Boosts Extension Protections in Chrome,"Google is adding an additional layer to Chrome’s defenses, which are designed to prevent potentially unwanted extensions from being installed. The latest enhancements build on the previous ones, which focused on silent installations.  [Read More]"
11,https://www.securityweek.com/test-shows-ie9-beats-chrome-safari-firefox-overall-malware-detection,"Test Shows IE9 Beats Chrome, Safari, Firefox in Overall Malware Detection","In a recent test conducted by NSS Labs, Internet Explorer performed the best, blocking 95 percent of malicious activity  [Read More]"
12,https://www.securityweek.com/malicious-chrome-extensions-targeting-facebook,Malicious Chrome Extensions Targeting Facebook,Researchers at Kaspersky Labs have found examples of malicious Chrome applications targeting Facebook users in Brazil.  [Read More]
13,https://www.securityweek.com/new-research-says-chrome-browser-most-secured-against-attacks,"New Research Says Chrome Browser ""Most Secured"" Against Attacks","Security research firm Accuvant, today released the results a study comparing the security of the three most widely used web browsers – Mozilla Firefox, Google Chrome, and Microsoft Internet Explorer.  [Read More]"
14,https://www.securityweek.com/chrome-throws-flash-sandbox,Chrome Throws Flash Into the Sandbox,Google announced today that it will be extending the Web browser’s existing sandboxing technology to Flash Player plug-in in the Windows version of Chrome.  [Read More]
15,https://www.securityweek.com/one-million-exposed-adware-hijacked-chrome-extension,One Million Exposed to Adware via Hijacked Chrome Extension,Over one million users were exposed to adware after the developer of a highly popular Chrome extension fell victim to a phishing attack.  [Read More]
16,https://www.securityweek.com/chrome-firefox-users-exposed-unicode-domain-phishing,"Chrome, Firefox Users Exposed to Unicode Domain Phishing","Chrome, Firefox and Opera expose their users to phishing attacks that rely on Unicode domain names  [Read More]"
17,https://www.securityweek.com/anti-phishing-feature-beta-version-google-chrome-poses-security-risks-researchers,Anti-Phishing Feature in Beta Version of Google Chrome Poses Security Risks: Researchers,The new anti-phishing feature currently being tested in the experimental version of Google Chrome does not work as well as intended and poses security risks.  [Read More]
18,https://www.securityweek.com/malicious-chrome-extensions-targeting-facebook,Malicious Chrome Extensions Targeting Facebook,Researchers at Kaspersky Labs have found examples of malicious Chrome applications targeting Facebook users in Brazil.  [Read More]
