,Link,Title,Intro
0,/vinfo/us/security/news/vulnerabilities-and-exploits/rediswannamine-cryptocurrency-mining-operation-found-targeting-servers-with-eternalblue,RedisWannaMine Cryptocurrency-Mining Operation Found Targeting Servers with EternalBlue,"A new cryptocurrency-mining operation they named RedisWannaMine was uncovered targeting database and application servers by exploiting the notorious EternalBlue.

"
1,/vinfo/us/security/news/cybercrime-and-digital-threats/large-scale-heist-of-cryptocurrency-exchange-binance-fails,Large-Scale Heist of Cryptocurrency Exchange Binance Fails,Users of cryptocurrency exchange Binance began noticing irregular trading on the platform a few days ago. An investigation revealed an organized and large-scale scheme to transfer bitcoin to several malicious actors. Automatic alarms were triggered and Binance
2,/vinfo/us/security/news/cyber-attacks/lazarus-campaign-and-loopx-scam-show-that-cryptocurrency-industry-still-fraught-with-dangers,Lazarus Campaign and LoopX Scam Show That Cryptocurrency Industry Still Fraught With Dangers,"Two cryptocurrency incidents made the news recently: one concerning a new campaign from the threat actor known as the Lazarus Group, and the other involving a scam by one of the many new cryptocurrency startups."
3,/vinfo/us/security/news/cybercrime-and-digital-threats/-coinhive-attacks-and-alleged-bitgrail-losses-highlight-cryptocurrency-security-issues, Coinhive Attacks and Alleged Bitgrail Losses Highlight Cryptocurrency Security Issues,"Two cryptocurrency-related security incidents occurred during the past couple of days, adding to the rising number of attacks that target digital currency."
4,/vinfo/us/security/news/cybercrime-and-digital-threats/osx-creativeupdate-macos-cryptocurrency-miner-distributed-via-macupdate,OSX.CreativeUpdate macOS Cryptocurrency Miner Distributed via MacUpdate ,A new cryptocurrency-mining malware was uncovered targeting macOS systems: — OSX.CreativeUpdate Here's what you need to know. 
5,/vinfo/us/security/news/cybercrime-and-digital-threats/coincheck-suffers-biggest-hack-in-cryptocurrency-experty-users-buy-false-ico,Coincheck Suffers Biggest Hack in Cryptocurrency History; Experty Users Tricked into Buying False ICO,Coincheck suffers a massive cryptocurrency hack while Experty users are tricked into buying a false ICO. What does this mean for the safety of cryptocurrency investors?
6,/vinfo/us/security/news/cybercrime-and-digital-threats/attackers-use-fake-spritecoin-cryptocurrency-to-lure-users-into-downloading-ransomware,Attackers Use Fake SpriteCoin Cryptocurrency to Lure Users into Downloading Ransomware,"A recent campaign was found using social engineering methods to take advantage of the increasing hype and visibility of cryptocurrencies via a fictional cryptocurrency called SpriteCoin, which is used as a ransomware lure for unsuspecting users."
7,/vinfo/us/security/news/cybercrime-and-digital-threats/electroneum-etn-cryptocurrency-targeted-by-webminer-delivered-via-malicious-advertisements,Electroneum (ETN) Cryptocurrency Targeted by Webminer Delivered via Malicious Advertisements,"Trend Micro observed a recent spate of attacks designed to deliver a webminer for the Electroneum (ETN) cryptocurrency.

"
8,/vinfo/us/security/news/cybercrime-and-digital-threats/security-101-the-impact-of-cryptocurrency-mining-malware,Security 101: The Impact of Cryptocurrency-Mining Malware,"As cryptocurrencies like bitcoin are more widely used, so will the threats that cybercriminals use to abuse it. Here’s a closer look at cryptocurrency-mining malware—their emergence in the threat landscape, impact, and some countermeasures against them."
9,/vinfo/us/security/news/vulnerabilities-and-exploits/rediswannamine-cryptocurrency-mining-operation-found-targeting-servers-with-eternalblue,RedisWannaMine Cryptocurrency-Mining Operation Found Targeting Servers with EternalBlue,"A new cryptocurrency-mining operation they named RedisWannaMine was uncovered targeting database and application servers by exploiting the notorious EternalBlue.

"
