,Link,Title,Intro
0,/vinfo/us/security/news/cybercrime-and-digital-threats/new-ios-malware-acedeceiver-could-be-a-threat-even-to-non-jailbroken-iphone-users,"New iOS Malware ""AceDeceiver"" Could Be A Threat Even to Non-Jailbroken iPhone Users","A new iOS malware that exploits Apple DRM flaws has been discovered—and it's one that could potentially affect “any device,” even non-jailbroken ones. "
1,/vinfo/us/security/news/cybercrime-and-digital-threats/7-cybercrime-scenarios-you-should-avoid,7 Cybercrime Scenarios You Should Avoid,"The most common cybercrime scenarios that users need to be wary of, and how to avoid them. "
2,/vinfo/us/security/news/cybercrime-and-digital-threats/new-ios-malware-acedeceiver-could-be-a-threat-even-to-non-jailbroken-iphone-users,"New iOS Malware ""AceDeceiver"" Could Be A Threat Even to Non-Jailbroken iPhone Users","A new iOS malware that exploits Apple DRM flaws has been discovered—and it's one that could potentially affect “any device,” even non-jailbroken ones. "
3,/vinfo/us/security/news/cybercrime-and-digital-threats/7-cybercrime-scenarios-you-should-avoid,7 Cybercrime Scenarios You Should Avoid,"The most common cybercrime scenarios that users need to be wary of, and how to avoid them. "
4,https://www.securityweek.com/pos-malware-hits-avanti-payment-kiosks,PoS Malware Hits Avanti Payment Kiosks,Cybercriminals used PoSeidon PoS malware to steal payment card and biometric data from Avanti kiosks  [Read More]
5,https://www.securityweek.com/ios-malware-acedeceiver-exploits-flaw-apple-drm,"iOS Malware ""AceDeceiver"" Exploits Flaw in Apple DRM",A new iOS malware family dubbed AceDeceiver leverages design flaws in Apple’s FairPlay DRM technology to infect devices  [Read More]
6,https://www.securityweek.com/rogue-app-store-targets-non-jailbroken-ios-devices,Rogue App Store Targets Non-Jailbroken iOS Devices,"Researchers from Proofpoint say they recently discovered a rogue app store that lets iOS device users download apps from a catalog offering more than 1 million apps, without having to jailbreak their device.  [Read More]"
7,https://www.securityweek.com/mac-os-x-and-ios-infections-and-threats-rise-symantec,Mac OS X and iOS Infections and Threats on the Rise: Symantec,"The number of Mac OS X systems infected with malware during the first nine months of 2015 is seven times higher than in all of 2014, Symantec reports.  [Read More]"
8,https://www.securityweek.com/xcodeghost-malware-updated-target-ios-9,XcodeGhost Malware Updated to Target iOS 9,"XcodeGhost compiler malware updated with iOS 9 support. Infections spotted in US enterprises, FireEye warns.  [Read More]"
9,https://www.securityweek.com/keyraider-ios-malware-targets-apple-accounts,"""KeyRaider"" iOS Malware Targets Apple Accounts","KeyRaider iOS malware used to steal credentials for 225,000 Apple accounts. Stolen data used for malicious jailbreak tweaks.  [Read More]"
