,Link,Title,Intro
0,/vinfo/us/security/news/cybercrime-and-digital-threats/bashware-attack-targets-windows-system-for-linux-wsl,Bashware Attack Targets Windows System for Linux (WSL) ,A new technique that leverages Windows Subsystem for Linux (WSL) could allow attackers to bypass security solutions installed in the user’s system.  
1,/vinfo/us/security/news/cybercrime-and-digital-threats/new-windows-smb-zero-day-leads-to-denial-of-service-on-vulnerable-systems,New Windows SMB Zero-Day Leads to Denial of Service on Vulnerable Systems,"A newly-disclosed Windows SMB zero-day vulnerability, could remotely cause a denial of service (DoS) on  a vulnerable system."
2,/vinfo/us/security/news/cybercrime-and-digital-threats/new-pokemon-go-ransomware-creates-windows-backdoor-account,New Pokemon Go Ransomware Creates Windows Backdoor Account ,"It was only a matter of time until cybercriminals would find a way to abuse the popular game, Pokemon Go and create a Pokemon Go-themed ransomware. "
3,/vinfo/us/security/news/cybercrime-and-digital-threats/cerber-crypto-ransomware-now-uses-malicious-script-files,Cerber Crypto-Ransomware Now Uses Malicious Windows Script Files via Email Campaigns,"Cerber, a cypto-ransomware variant that made the rounds in early March this year, has been discovered using email as another way to distribute the malware,  "
4,/vinfo/us/security/news/cybercrime-and-digital-threats/windows-9-free-download-leads-to-adware-download-instead,Windows 9 Free Download Leads to Adware Download Instead [Blog],“Windows 9 Free Download!“ sounds too good to be true but cybercriminals still use bait like this to get you to install adware on your computer.
5,http://blog.trendmicro.com/trendlabs-security-intelligence/poweliks-malware-hides-in-windows-registry/,Malware Resorts to Hiding in the Windows Registry [Blog],"Like a thousand ways to skin a cat, there are a number of ways malware avoid detection. POWELIKS malware, for example, hides in the Windows registry. Trend Micro analyzes its behavior and makes sure that customers are safe from this malware."
6,http://blog.trendmicro.com/trendlabs-security-intelligence/black-magic-windows-powershell-used-again-in-new-attack/,Black Magic: Windows PowerShell Used Again in New Attack,Recent targeted attacks that send bogus emails from a Chinese newspaper were found targeting systems with Windows PowerShell installed. The PowerShell command line is typically found on Windows 7 onwards and is used to automate Windows applications.
7,/vinfo/us/security/news/cybercrime-and-digital-threats/rat-hides-as-windows-and-yahoo-messenger,RAT Hides as Windows® and Yahoo!® Messenger,"RATs or remote access Trojans—like the prominent Gh0st, PoisonIvy, and DRAT—have made it easier for attackers to stay hidden within a target network. A RAT's ability to disguise their network traffic as messaging app traffic makes it especially elusive."
8,/vinfo/us/security/news/cybercrime-and-digital-threats/bashware-attack-targets-windows-system-for-linux-wsl,Bashware Attack Targets Windows System for Linux (WSL) ,A new technique that leverages Windows Subsystem for Linux (WSL) could allow attackers to bypass security solutions installed in the user’s system.  
9,/vinfo/us/security/news/cybercrime-and-digital-threats/new-windows-smb-zero-day-leads-to-denial-of-service-on-vulnerable-systems,New Windows SMB Zero-Day Leads to Denial of Service on Vulnerable Systems,"A newly-disclosed Windows SMB zero-day vulnerability, could remotely cause a denial of service (DoS) on  a vulnerable system."
