,Link,Title,Intro
0,https://www.securityweek.com/pro-isis-hackers-compromise-us-centcom-twitter-youtube-accounts,"Pro-ISIS Hackers Compromise U.S. CENTCOM Twitter, YouTube Accounts","Hackers supporting Islamic State jihadists hacked the Twitter and YouTube accounts of the U.S. Central Command (CENTCOM), the Department of Defense confirmed Monday.  [Read More]"
1,https://www.securityweek.com/backdoored-phishing-templates-advertised-youtube,Backdoored Phishing Templates Advertised on YouTube,"Scammers are abusing YouTube as a new way to promote backdoored phishing templates and provide potential buyers with information on how to use the nefarious software, Proofpoint researchers warn.  [Read More]"
2,https://www.securityweek.com/malicious-youtube-pages-targeting-chrome-users,Malicious YouTube Pages Targeting Chrome Users,"Researchers at Zscaler have discovered a fake YouTube page that is hosting malicious Chrome extensions. Such pages, as seen in the past, prey on the uninformed users with poorly patched systems to spread malware.  [Read More]"
3,https://www.securityweek.com/vengeful-youtube-video-leads-prison-sentence-philadelphia-man,Vengeful YouTube Video Leads to Prison Sentence for Philadelphia Man,Philadelphia Man Sentenced for Threatening U.S. Congressman via YouTube Video  [Read More]
4,https://www.securityweek.com/behind-bars-hospital-guard-hacker-who-posted-his-crime-youtube,Behind Bars: The Hospital Guard Hacker Who Posted His Crime on YouTube,"Jesse William McGraw, a former contract security guard at the North Central Medical Plaza in Dallas, who admitted hacking into that hospital’s computer systems, was recently sentenced to 110 months in Federal prison.  [Read More]"
5,https://www.securityweek.com/pro-isis-hackers-compromise-us-centcom-twitter-youtube-accounts,"Pro-ISIS Hackers Compromise U.S. CENTCOM Twitter, YouTube Accounts","Hackers supporting Islamic State jihadists hacked the Twitter and YouTube accounts of the U.S. Central Command (CENTCOM), the Department of Defense confirmed Monday.  [Read More]"
6,https://www.securityweek.com/backdoored-phishing-templates-advertised-youtube,Backdoored Phishing Templates Advertised on YouTube,"Scammers are abusing YouTube as a new way to promote backdoored phishing templates and provide potential buyers with information on how to use the nefarious software, Proofpoint researchers warn.  [Read More]"
7,https://www.securityweek.com/malicious-youtube-pages-targeting-chrome-users,Malicious YouTube Pages Targeting Chrome Users,"Researchers at Zscaler have discovered a fake YouTube page that is hosting malicious Chrome extensions. Such pages, as seen in the past, prey on the uninformed users with poorly patched systems to spread malware.  [Read More]"
8,https://www.securityweek.com/vengeful-youtube-video-leads-prison-sentence-philadelphia-man,Vengeful YouTube Video Leads to Prison Sentence for Philadelphia Man,Philadelphia Man Sentenced for Threatening U.S. Congressman via YouTube Video  [Read More]
9,https://www.securityweek.com/behind-bars-hospital-guard-hacker-who-posted-his-crime-youtube,Behind Bars: The Hospital Guard Hacker Who Posted His Crime on YouTube,"Jesse William McGraw, a former contract security guard at the North Central Medical Plaza in Dallas, who admitted hacking into that hospital’s computer systems, was recently sentenced to 110 months in Federal prison.  [Read More]"
