,Link,Title,Intro
0,/vinfo/us/security/news/cybercrime-and-digital-threats/gold-galleon-targets-maritime-shipping-companies-customers-in-bec-campaigns,"Gold Galleon Targets Maritime Shipping Companies, Customers in BEC Campaigns","An emerging threat actor called Gold Galleon targets maritime shipping companies, related businesses, and their customers in business email compromise (BEC) and social engineering attacks."
1,/vinfo/us/security/news/cybercrime-and-digital-threats/curbing-the-bec-problem-using-ai-and-machine-learning,Curbing the BEC Problem Using AI and Machine Learning,"Due to BEC’s evolving and treacherous nature, run-of-the-mill best practices and security solutions have become weak to withstand attacks. Find out how advanced solutions that utilize artificial intelligence and machine learning help in defending against BEC."
2,/vinfo/us/security/news/cybercrime-and-digital-threats/no-macros-required-design-in-rtf-and-vulnerability-in-office-exploited-to-deliver-formbook-rat,No Macros Required: Design in RTF and Vulnerability in Office Exploited to Deliver Formbook RAT,Security researchers uncovered a multi-stage attack chain that takes advantage of a design behavior in RTF files and a vulnerability in Microsoft Office (CVE-2017-8570) to deliver the Formbook RAT. 
3,/vinfo/us/security/news/cybercrime-and-digital-threats/what-you-need-to-know-about-tax-scams,What You Need To Know About Tax Scams,"Tax season is upon us (again), and so are IRS tax scammers. How prepared are you when it comes to filing your taxes and defending against IRS tax fraud? Learn more about these scams and how you can protect yourself. "
4,/vinfo/us/security/news/cybercrime-and-digital-threats/historical-overview-of-proactive-incident-response-strategies-and-what-they-mean-to-enterprises,A Historical Overview of Proactive Incident Response Strategies and What They Mean to Enterprises,We look at some of the defining moments in the threat landscape that helped steer organizations toward adding proactive incident response strategies to their cybersecurity defenses.
5,/vinfo/us/security/news/cybercrime-and-digital-threats/magento-based-websites-hacked-to-steal-credit-card-data-and-install-cryptocurrency-mining-malware,Magento-Based Websites Hacked to Steal Credit Card Data and Install Cryptocurrency-Mining Malware,"Security researchers reported that at least 1,000 websites running on the Magento platform were targeted via brute-force attacks to steal credit card data and install cryptocurrency-mining malware."
6,/vinfo/us/security/news/cybercrime-and-digital-threats/-bank-card-data-of-five-million-stolen-in-saks-and-lord-taylor-data-breach, Bank Card Data of Five Million Stolen in Saks and Lord & Taylor Data Breach,Data from five million credit and debit cards was put up for sale on the dark web last March 28. Security researchers investigating the sale traced the data back to Saks Faith Avenue and other stores under the Hudson's Bay company.
7,/vinfo/us/security/news/cybercrime-and-digital-threats/evolving-trickbot-adds-detection-evasion-and-screen-locking-features,Evolving Trickbot Adds Detection Evasion and Screen-Locking Features,The authors of Trickbot continue to develop the already-troublesome malware by adding features designed to make it more difficult to counter.
8,/vinfo/us/security/news/cybercrime-and-digital-threats/samsam-ransomware-suspected-in-atlanta-cyberattack,SAMSAM Ransomware Suspected in Atlanta Cyberattack,"SAMSAM ransomware is suspected to hit systems used by the city of Atlanta's local services, causing outages on customer facing applications, including some that customers may use to pay bills or access court-related information."
9,/vinfo/us/security/news/cybercrime-and-digital-threats/orbitz-may-have-exposed-880-000-credit-cards,"Orbitz May Have Exposed 880,000 Credit Cards","Orbitz, a travel booking website owned by Expedia, has been found with signs of a major data breach that may have exposed 880,000 customer credit card records."
10,/vinfo/us/security/news/cybercrime-and-digital-threats/data-dump-with-selfies-found-in-russian-dark-web-forum,Data Dump with Selfies Found in Russian Dark Web Forum,"A post in a predominantly Russian-language dark web forum was reportedly selling a data dump with records that had an unusual ""extra"" bit of data: each record included a selfie of the user."
11,/vinfo/us/security/news/cybercrime-and-digital-threats/mobile-adware-rottensys-can-infect-android-devices-to-become-part-of-a-botnet,Mobile Adware RottenSys Can Infect Android Devices to Become Part of a Botnet,"An Android adware named RottenSys has reportedly affected nearly 5 million Android devices since 2016, with the capability to turn affected devices into becoming part of a botnet. "
12,/vinfo/us/security/news/cybercrime-and-digital-threats/blacktds-traffic-distribution-system-for-malware-offered-as-a-service-in-the-dark-web,BlackTDS Traffic Distribution System for Malware Offered as a Service in the Dark Web,"Security researchers uncovered a traffic distribution system (TDS) being advertised as a service in the dark web. Named “BlackTDS,” the TDS is used to deploy malware and redirect would-be victims to exploit kits."
13,/vinfo/us/security/news/cybercrime-and-digital-threats/infosec-guide-taking-down-fraudulent-domains,InfoSec Guide: Taking Down Fraudulent Domains (Part 2),After monitoring and detecting suspicious domains—now what? Affected businesses should deactivate them so fraudsters won’t be able to use them for their schemes. Here's how it can be done.
14,/vinfo/us/security/news/cybercrime-and-digital-threats/study-finds-fake-news-spreads-faster-than-real-news-on-twitter,Study Finds Fake News Spreads Faster Than Real News on Twitter,"MIT's recent research delved into 126,000 stories tweeted by around 3 million accounts from 2006 to 2017 and found that fake news spread faster and were more likely to be retweeted than true stories. "
15,/vinfo/us/security/news/cybercrime-and-digital-threats/large-scale-heist-of-cryptocurrency-exchange-binance-fails,Large-Scale Heist of Cryptocurrency Exchange Binance Fails,Users of cryptocurrency exchange Binance began noticing irregular trading on the platform a few days ago. An investigation revealed an organized and large-scale scheme to transfer bitcoin to several malicious actors. Automatic alarms were triggered and Binance
16,/vinfo/us/security/news/cybercrime-and-digital-threats/poc-exploits-for-memcached-ddos-attacks-published-online,PoC Exploits for Memcached DDoS Attacks Published Online,"There has been a sudden surge of memcached servers being abused for DDoS attacks. Proof-of-concept exploit codes have been published, but mitigation techniques and an update from the service provider are also available.  "
17,/vinfo/us/security/news/cybercrime-and-digital-threats/point-of-sale-malware-uncovered-in-applebee-s-restaurants,Point-of-Sale Malware Uncovered in Applebee’s Restaurants,"RMH Franchise Holdings (RMH), which owns and operates more than 160 Applebee’s restaurants, recently disclosed that malware were uncovered on their point-of-sale (PoS) systems."
