,Link,Title,Intro
0,/vinfo/us/threat-encyclopedia/spam/3630/cryptocurrencyrelated-spam-mails-currently-on-the-rise,Cryptocurrency-related Spam Mails Currently On The Rise,"Cryptocurrency is the hot new topic nowadays, so it's no surprise that cybercriminals will start to use it as a way to get users to click on their malicious spam mail. For the past few days, we have seen an increase in the number of cryptocurrency-related spam emails.Read more   "
1,/vinfo/us/threat-encyclopedia/spam/3658/fake-paypal-email-comes-with-phishing-link\,Fake Paypal email comes with phishing link," Different variants of fake Paypal notice emails were found in recent circulation. The contents of the email included the recipient’s name, PayPal ID, payment amounts, as well as the malicious link.Read more   "
2,/vinfo/us/threat-encyclopedia/spam/3655/spam-campaigns-with-malware-exploiting-cve201711882-spread-in-australia-and-japan,Spam Campaigns with Malware Exploiting CVE-2017-11882 Spread in Australia and Japan,"Spam campaigns, carrying links or malicious .doc files, exploiting the Microsoft Office vulnerability known as CVE-2017-11882 is spreading in Australia and Japan.Read more   "
3,/vinfo/us/threat-encyclopedia/spam/3652/two-waves-of-malformed-malspam-arrive-in-mailboxes\,Two Waves of Malformed Malspam Arrive in Mailboxes,"More news on the malicious spam front - we recently received two waves of what appears to be malformed malspam. The first one has 'Supplement payment [Random Number]' for its subject heading, while the other one is passing itself off as a 'Document invoice_[Random number]_sign_and_return.Read more   "
4,/vinfo/us/threat-encyclopedia/spam/3649/lockybearing-spam-emails-arrive-with-html-attachments,Locky-bearing Spam Emails Arrive with HTML Attachments,"Ransomware-related spam emails usually use archived attachments to deliver the malware. However, this time, we've found the ransomware Locky to arrive via spam emails that contain HTML attachments.Read more   "
5,/vinfo/us/threat-encyclopedia/spam/3646/more-locky-spam-campaign-samples-arrive-with-ransomware\,More Locky Spam Campaign Samples Arrive With Ransomware,The Locky ransomware spam campaign appears to be in full force as we find not just one but two new samples of Locky-ridden spammed mails in this report. The first one arrives with the subject 'Emailed Invoice - [Random Number]' while the second one comes with the subject 'New Doc [yyyy-mm-dd] - Page [Random Number]' - subjects brief and terse enough that anyone unware might mistake them as casual business communication and thus legitimate.Read more   
6,/vinfo/us/threat-encyclopedia/spam/3643/powmetdropping-spam-emails-spotted,Powmet-dropping Spam Emails Spotted,"Trojan Powmet are arriving as attachments to invoice and efax-related emails. In spoofed invoice mails, .Read more   "
7,/vinfo/us/threat-encyclopedia/spam/3640/fake-voice-message-and-invoice-notification-attachment-comes-with-locky-ransomware\,Fake Voice Message and Invoice Notification Attachment Comes With Locky Ransomware,"Ransomware is a common malicious attachment found in spam mail campaigns. In this particular instance, we found samples of two new spam campaigns sporting Locky ransomware making the rounds.Read more   "
8,/vinfo/us/threat-encyclopedia/spam/671/voice-message-malspam-arrives-with-locky-ransomware,Voice Message Malspam Arrives With Locky Ransomware,"Fake voicemail email notifications with malicious attachments and/or links appear to be in vogue with cybercriminals today, as our engineers have begun to receive samples of this type of spam campaign. Upon further analysis, each one leads to ransomware infection - specifically, Locky ransomware.Read more   "
9,/vinfo/us/threat-encyclopedia/spam/674/fake-amazon-invoice-arrives-with-locky-ransomware\,Fake Amazon Invoice Arrives with Locky Ransomware,A fake invoice spoofing Amazon Marketplace is spreading Locky ransomware. The email contains a message thanking the recipient for their purchase and refers to an attached invoice as proof of purchase.Read more   
