,Link,Title,Intro,Topic
0,https://www.securityweek.com/oil-and-gas-sector-middle-east-hit-serious-security-incidents,Oil and Gas Sector in Middle East Hit by Serious Security Incidents,"Many oil and gas companies in the Middle East reported suffering at least one security incident that resulted in loss of confidential information or disruption to operations, says Siemens  [Read More]",risk-management
1,https://www.securityweek.com/amd-chip-flaws-confirmed-more-researchers,AMD Chip Flaws Confirmed by More Researchers,"An increasing number of researchers confirm existence of vulnerabilities in AMD processors, but no impact on the chip giant’s stock  [Read More]",risk-management
2,https://www.securityweek.com/hackers-can-abuse-text-editors-privilege-escalation,Hackers Can Abuse Text Editors for Privilege Escalation,Researchers analyzed several text editors and found that many of them can be exploited for privilege escalation. Affected vendors not planning on releasing patches  [Read More],risk-management
3,https://www.securityweek.com/microsoft-publishes-bi-annual-security-intelligence-report-sir,Microsoft Publishes Bi-annual Security Intelligence Report (SIR),Microsoft's 23rd bi-annual Security Intelligence Report (SIR) draws on data analysis of Microsoft's global estate since February 2017.  [Read More],risk-management
4,https://www.securityweek.com/stealthy-data-exfiltration-possible-headphones-speakers,"Stealthy Data Exfiltration Possible via Headphones, Speakers","Malware can stealthily steal data from air-gapped computers using headphones and speakers, researchers demonstrate  [Read More]",risk-management
5,https://www.securityweek.com/researchers-demonstrate-ransomware-attack-robots,Researchers Demonstrate Ransomware Attack on Robots,"IOActive security researchers today revealed a ransomware attack on robots, demonstrating not only that such assaults are possible, but also the potential financial impact  [Read More]",risk-management
6,https://www.securityweek.com/cortana-can-expose-enterprises-attacks-researchers-warn,"Cortana Can Expose Enterprises to Attacks, Researchers Warn","Researchers showed how Cortana could have been abused to bypass the Windows lock screen and hack into enterprise systems. Microsoft released a patch, but variations of the attack may still be possible and other voice assistants could also be affected  [Read More]",risk-management
7,https://www.securityweek.com/exploiting-user-pii-held-everyones-web-browser,Exploiting the User PII Held in Everyone's Web Browser,Researcher shows how much personal data is stored in web browsers and how readily it can be harvested  [Read More],risk-management
8,https://www.securityweek.com/memcached-ddos-attack-kill-switch-found,Memcached DDoS Attack 'Kill Switch' Found,Corero finds “kill switch” for the Memcached vulnerability that has fueled some of the largest distributed DDoS attacks in history  [Read More],risk-management
9,https://www.securityweek.com/world-economic-forum-announces-new-fintech-cybersecurity-consortium,World Economic Forum Announces New Fintech Cybersecurity Consortium,"The World Economic Forum (WEF) has launched the Fintech Cybersecurity Consortium, a new fintech-focused initiative to create a framework for the assessment of cybersecurity in financial technology firms and data aggregators.  [Read More]",risk-management
10,https://www.securityweek.com/memcached-abused-ddos-amplification-attacks,Memcached Abused for DDoS Amplification Attacks,"Memcrashed: memcached protocol abused by cybercriminals for significant DDoS amplification attacks, Cloudflare and Arbor Networks warn  [Read More]",risk-management
11,https://www.securityweek.com/chip-cards-lead-70-drop-counterfeit-fraud-visa,Chip Cards Lead to 70% Drop in Counterfeit Fraud: Visa,"The adoption of chip-and-PIN technology by an increasing number of U.S. merchants has led to a 70% decrease in counterfeit card fraud, says Visa  [Read More]",risk-management
12,https://www.securityweek.com/tech-giants-hit-meltdown-spectre-respond-lawmakers,"Tech Giants Hit by Meltdown, Spectre Respond to Lawmakers","Intel, AMD, ARM, Apple, Amazon, Google and Microsoft respond to lawmakers’ questions regarding the disclosure of the Meltdown and Spectre CPU flaws  [Read More]",risk-management
13,https://www.securityweek.com/sec-tells-execs-not-trade-while-investigating-security-incidents,SEC Tells Execs Not to Trade While Investigating Security Incidents,U.S. SEC releases updated guidance on data breach disclosures and advises companies to adopt policies that ban executives from trading during security incident investigations  [Read More],risk-management
14,https://www.securityweek.com/top-experts-warn-against-malicious-use-ai,Top Experts Warn Against 'Malicious Use' of AI,"Artificial intelligence could be deployed by dictators, criminals and terrorists to manipulate elections and use drones in terrorist attacks, experts say.  [Read More]",risk-management
15,https://www.securityweek.com/us-justice-department-launches-cybersecurity-task-force,U.S. Justice Department Launches Cybersecurity Task Force,U.S. Department of Justice creates new cybersecurity task force to help find ways to combat cyber threats and become more efficient in this area  [Read More],risk-management
