,Link,Title,Intro,Topic
0,https://www.securityweek.com/siemens-patches-flaws-simatic-controllers-mobile-apps,"Siemens Patches Flaws in SIMATIC Controllers, Mobile Apps",Siemens has patched vulnerabilities in some of its SIMATIC industrial controllers and mobile applications  [Read More],mobile-security
1,https://www.securityweek.com/google-reviews-over-50-billion-android-apps-daily,Google Reviews Over 50 Billion Android Apps Daily,"Play Protect, the security service that arrived on Android last year, reviews more than 50 billion apps each day, Google claims.  [Read More]",mobile-security
2,https://www.securityweek.com/new-%E2%80%9Chenbox%E2%80%9D-android-malware-discovered,New “HenBox” Android Malware Discovered,"A newly discovered Android malware family masquerades as various popular applications and can steal a broad range of information from infected devices, Palo Alto Networks warns.  [Read More]",mobile-security
3,https://www.securityweek.com/blocking-broadcom-qualcomm-tie-highlights-5g-security-fears,Blocking of Broadcom-Qualcomm Tie-up Highlights 5G Security Fears,The move by President Donald Trump blocking a proposed takeover of Qualcomm by Singapore-based Broadcom highlights growing concerns about the rise of Chinese competitors in the telecom sector and related national security issues.  [Read More],mobile-security
4,https://www.securityweek.com/mobile-malware-attacks-surged-2017-kaspersky,Mobile Malware Attacks Surged in 2017: Kaspersky,"The number of mobile malware attacks detected in 2017 has increased to 42.7 million, according to a new report from Kaspersky Lab.  [Read More]",mobile-security
5,https://www.securityweek.com/researchers-devise-new-attacks-against-4g-lte-mobile-networks,Researchers Devise New Attacks Against 4G LTE Mobile Networks,"A team of researchers have discovered 10 new attacks against the 4G LTE protocol, which could allow adversaries snoop on messages, deny service, and even track the location of users.  [Read More]",mobile-security
6,https://www.securityweek.com/androids-march-2018-patches-fix-critical-high-risk-flaws,"Android's March 2018 Patches Fix Critical, High Risk Flaws",Google released its March 2018 set of security updates for Android to address numerous Critical and High severity vulnerabilities in the popular mobile operating system.  [Read More],mobile-security
7,https://www.securityweek.com/triada-trojan-pre-installed-low-cost-android-smartphones,Triada Trojan Pre-Installed on Low Cost Android Smartphones,The sophisticated Triada Trojan has been found embedded in the firmware of more than 40 low-cost Android smartphone models.  [Read More],mobile-security
8,https://www.securityweek.com/reddrop-mobile-malware-records-ambient-audio,"""RedDrop"" Mobile Malware Records Ambient Audio",A newly detailed mobile malware can do more than steal data from infected devices: it can also record ambient audio and send the recordings to cloud storage accounts controlled by attackers.  [Read More],mobile-security
9,https://www.securityweek.com/whatsapp-co-founder-invests-50-million-signal,WhatsApp Co-founder Invests $50 Million in Signal,"Signal announces the launch of the Signal Foundation with a $50 million investment from Brian Acton, the co-founder of WhatsApp  [Read More]",mobile-security
10,https://www.securityweek.com/3-million-new-android-malware-samples-discovered-2017,3 Million New Android Malware Samples Discovered in 2017,"More than 3 million new malware samples targeting the Android operating system were discovered in 2017, marking a slight decrease from the previous year, G Data reports.  [Read More]",mobile-security
11,https://www.securityweek.com/critical-code-execution-flaws-patched-android,Critical Code Execution Flaws Patched in Android,Google patches several critical severity remote code execution (RCE) vulnerabilities in Android  [Read More],mobile-security
12,https://www.securityweek.com/schneider-electric-patches-several-flaws-igss-products,Schneider Electric Patches Several Flaws in IGSS Products,"Schneider Electric patches vulnerabilities in IGSS automation system, including in SCADA software and mobile applications  [Read More]",mobile-security
13,https://www.securityweek.com/new-androrat-variant-emerges,New AndroRAT Variant Emerges,A newly discovered variant of the AndroRAT mobile malware can inject root exploits to perform malicious tasks  [Read More],mobile-security
14,https://www.securityweek.com/stealthy-data-exfiltration-possible-magnetic-fields,Stealthy Data Exfiltration Possible via Magnetic Fields,Researchers develop malware that can jump air gaps and exfiltrate data from an isolated device using magnetic fields  [Read More],mobile-security
15,https://www.securityweek.com/crypto-mining-botnet-targets-android-devices,Crypto-mining Botnet Targets Android Devices,"A new crypto-mining botnet has been growing and targeting Android devices with an open ADB port, Qihoo 360's NetLab researchers reveal.  [Read More]",mobile-security
16,https://www.securityweek.com/700000-bad-android-apps-removed-google-play-2017,"700,000 Bad Android Apps Removed From Google Play in 2017","Google took down over 700,000 Android applications from the official software marketplace last year, 70% more than were removed from the store in 2016.  [Read More]",mobile-security
17,https://www.securityweek.com/exercise-tracking-app-reveals-details-military-sites,Exercise Tracking App Reveals Details of Military Sites,"A map showing paths taken by users of an exercise tracking app reveals potentially sensitive information about American and allied military personnel in places including Afghanistan, Iraq and Syria  [Read More]",mobile-security
18,https://www.securityweek.com/pci-council-introduces-new-standard-mobile-card-payments,PCI Council Introduces New Standard for Mobile Card Payments,The PCI Security Standards Council (PCI SSC) has announced a new standard for software-based PIN entry on commercial off-the-shelf devices (COTS); such as smartphones and tablets.  [Read More],mobile-security
19,https://www.securityweek.com/booby-trapped-messaging-apps-used-spying-researchers,Booby-Trapped Messaging Apps Used for Spying: Researchers,"An espionage campaign using malware-infected messaging apps has been stealing smartphone data from activists, soldiers, lawyers, journalists and others in more than 20 countries.  [Read More]",mobile-security
