,Link,Title,Intro
0,/vinfo/us/security/news/cybercrime-and-digital-threats/historical-overview-of-proactive-incident-response-strategies-and-what-they-mean-to-enterprises,A Historical Overview of Proactive Incident Response Strategies and What They Mean to Enterprises,We look at some of the defining moments in the threat landscape that helped steer organizations toward adding proactive incident response strategies to their cybersecurity defenses.
1,/vinfo/us/security/news/cybercrime-and-digital-threats/mobile-adware-rottensys-can-infect-android-devices-to-become-part-of-a-botnet,Mobile Adware RottenSys Can Infect Android Devices to Become Part of a Botnet,"An Android adware named RottenSys has reportedly affected nearly 5 million Android devices since 2016, with the capability to turn affected devices into becoming part of a botnet. "
2,/vinfo/us/security/research-and-analysis/threat-reports/roundup/2017-mobile-threat-landscape,2017 Mobile Threat Landscape,"We delved into 2017’s most notable threats to see what lies ahead in the mobile landscape, and what users and organizations can do to navigate it in 2018 and beyond."
3,/vinfo/us/security/news/mobile-safety/dark-caracal-group-used-trojanized-android-apps-to-steal-data,Dark Caracal Group Revealed: Group Used Trojanized Android Apps to Steal Data,"Dark Caracal, a hacking group behind several cyberattacks that used trojanized Android apps to collect data from thousands of victims, was discovered.  "
4,/vinfo/us/security/news/vulnerabilities-and-exploits/chaios-bug-can-cause-imessage-app-crash-loop,ChaiOS Bug Can Cause iMessage App Crash Loop,A discovered bug dubbed as ChaiOS can cause the iMessage app to crash or reboot repeatedly.
5,/vinfo/us/security/news/vulnerabilities-and-exploits/popular-banking-apps-found-vulnerable-to-man-in-the-middle-attacks,Popular Banking Apps Found Vulnerable to Man-in-the-Middle Attacks,"Security researchers at the University of Birmingham found that several banking apps were susceptible to man-in-the-middle (MitM) attacks through a vulnerability in the way they handle encrypted communications, which can let attackers steal credentials."
6,/vinfo/us/security/news/cybercrime-and-digital-threats/red-alert-2-0-android-trojan-spreads-via-third-party-app-stores,Red Alert 2.0 Android Trojan Spreads Via Third Party App Stores,A spate of new attacks targeting the Android operating system have been discovered using a banking trojan named Red Alert 2.0.
7,/vinfo/us/security/news/mobile-safety/a-practical-guide-to-mobile-safety,A Practical Guide to Mobile Safety,"As threats to mobile devices increase, developing good security habits becomes even more important. In this article, we detail current mobile threats and provide tips on how to secure mobile devices.   "
8,/vinfo/us/security/news/mobile-safety/maximizing-security-and-privacy-settings-in-ios-10,Maximizing Security and Privacy Settings in iOS 10,"With the recent launch of the iPhone 7 and iPhone 7 Plus comes the roll-out of Apple's latest mobile operating system update, iOS 10. As expected, fun, consumer-centric updates drew applause in Tim Cook's recent keynote. But what about security and privacy?"
9,/vinfo/us/security/news/mobile-safety/apple-promptly-releases-patch-after-zero-day-vulnerabilities-discovered,Apple Releases Patch After Discovery of Three Zero-Day Vulnerabilities,Three zero-day vulnerabilities were exposed after an attempted attack on a high-profile human rights activist’s iPhone. Apple responded quickly by releasing a patch to address the bugs.  
