,Link,Title,Intro,Topic
0,https://www.securityweek.com/oil-and-gas-sector-middle-east-hit-serious-security-incidents,Oil and Gas Sector in Middle East Hit by Serious Security Incidents,"Many oil and gas companies in the Middle East reported suffering at least one security incident that resulted in loss of confidential information or disruption to operations, says Siemens  [Read More]",
1,https://www.securityweek.com/f-secure-looks-address-cyber-security-risks-aviation-industry,F-Secure Looks to Address Cyber Security Risks in Aviation Industry,"Historically, aviation security has primarily focused on physical safety, but the customization of new aircraft to provide newer and unique passenger experiences has added a new cyber risk.  [Read More]",
2,https://www.securityweek.com/russian-cyberspies-hacked-routers-energy-sector-attacks,Russian Cyberspies Hacked Routers in Energy Sector Attacks,Russia-linked cyberspy group Dragonfly compromised a Cisco router and abused it to harvest credentials later used to hack energy companies in the UK  [Read More],
3,https://www.securityweek.com/us-accuses-russian-government-hacking-infrastructure,US Accuses Russian Government of Hacking Infrastructure,"The Russian government is behind a sustained hacking effort to take over the control systems of critical US infrastructure like nuclear power plants and water distribution, according to US cyber security investigators.  [Read More]",
4,https://www.securityweek.com/sofacy-targets-european-govt-us-accuses-russia-hacking,Sofacy Targets European Govt as U.S. Accuses Russia of Hacking,Russia-linked threat group Sofacy spotted targeting a European government agency just as the U.S. accused the Kremlin of launching attacks on critical infrastructure  [Read More],
5,https://www.securityweek.com/hackers-tried-cause-saudi-petrochemical-plant-blast-nyt,Hackers Tried to Cause Saudi Petrochemical Plant Blast: NYT,Cyber-attackers tried to trigger a deadly explosion at a petrochemical plant in Saudi Arabia in August and failed only because of a code glitch.  [Read More],
6,https://www.securityweek.com/us-energy-firm-fined-27-million-over-data-security-incident,U.S. Energy Firm Fined $2.7 Million Over Data Security Incident,An unnamed energy firm in the U.S. has been fined $2.7 million over a data security incident that exposed critical cyber assets  [Read More],
7,https://www.securityweek.com/iic-publishes-best-practices-securing-industrial-endpoints,IIC Publishes Best Practices for Securing Industrial Endpoints,"The Industrial Internet Consortium (IIC) has published a new paper designed to provide a concise overview of the countermeasures necessary to secure industrial endpoints; that is, the industrial internet of things (IIoT).  [Read More]",
8,https://www.securityweek.com/researchers-demonstrate-ransomware-attack-robots,Researchers Demonstrate Ransomware Attack on Robots,"IOActive security researchers today revealed a ransomware attack on robots, demonstrating not only that such assaults are possible, but also the potential financial impact  [Read More]",
9,https://www.securityweek.com/delta-patches-vulnerabilities-hmi-plc-products,"Delta Patches Vulnerabilities in HMI, PLC Products","Delta Electronics patches several vulnerabilities in two of its HMI and PLC products, including high severity issues that can allow remote code execution  [Read More]",
