,Link,Title,Intro,Topic
0,https://www.securityweek.com/cortana-can-expose-enterprises-attacks-researchers-warn,"Cortana Can Expose Enterprises to Attacks, Researchers Warn","Researchers showed how Cortana could have been abused to bypass the Windows lock screen and hack into enterprise systems. Microsoft released a patch, but variations of the attack may still be possible and other voice assistants could also be affected  [Read More]",cloud-security
1,https://www.securityweek.com/mcafee-launches-security-platform-azure-cloud,McAfee Launches Security Platform for Azure Cloud,"McAfee announced the first product resulting from its purchase of Skyhigh Networks, finalized in January 2018: the McAfee Skyhigh Security Cloud for Azure.  [Read More]",cloud-security
2,https://www.securityweek.com/top-us-court-grapples-email-warrant-reaching-across-borders,Top US Court Grapples With Email Warrant Reaching Across Borders,US Supreme Court justices grappled Tuesday with the implications of a criminal warrant case involving Microsoft emails.  [Read More],cloud-security
3,https://www.securityweek.com/cisco-patches-critical-flaws-ucdm-esc-products,"Cisco Patches Critical Flaws in UCDM, ESC Products",Cisco patches critical vulnerabilities in Unified Communications and Elastic Services Controller products  [Read More],cloud-security
4,https://www.securityweek.com/oracle-acquire-cloud-security-firm-zenedge,Oracle to Acquire Cloud Security Firm Zenedge,Oracle said Thursday that it has agreed to acquire cloud security firm Zenedge for an undisclosed sum.  [Read More],cloud-security
5,https://www.securityweek.com/thousands-more-personal-records-exposed-misconfigurations,Thousands More Personal Records Exposed via Misconfigurations,Two more misconfigured databases exposing the personal details of thousands of people were disclosed late last week  [Read More],cloud-security
6,https://www.securityweek.com/malware-pervasive-across-cloud-platforms-report,Malware is Pervasive Across Cloud Platforms: Report,Bitglass scanned tens of millions of customer files and found (PDF) a remarkably high number of infections: 44% of organizations had at least one piece of malware in their cloud applications.  [Read More],cloud-security
7,https://www.securityweek.com/kaspersky-launches-new-security-product-exchange-online,Kaspersky Launches New Security Product for Exchange Online,Kaspersky expands SMB offering with a new product designed to provide an extra layer of security for the Exchange Online email service in Office 365  [Read More],cloud-security
8,https://www.securityweek.com/google-adds-custom-roles-feature-cloud-iam,Google Adds Custom Roles Feature to Cloud IAM,Google Cloud Identity & Access Management (IAM) users can now assign custom roles for fine-grained security  [Read More],cloud-security
9,https://www.securityweek.com/seagate-patches-flaws-personal-cloud-goflex-products,"Seagate Patches Flaws in Personal Cloud, GoFlex Products","Seagate patches arbitrary file deletion and command injection vulnerabilities in Personal Cloud, and an XSS flaw in GoFlex  [Read More]",cloud-security
10,https://www.securityweek.com/misconfigured-jenkins-servers-leak-sensitive-data,Misconfigured Jenkins Servers Leak Sensitive Data,"A researcher discovered hundreds of misconfigured Jenkins servers that leaked sensitive information, including ones belonging to major companies  [Read More]",cloud-security
11,https://www.securityweek.com/intel-tests-performance-impact-cpu-patches-data-centers,Intel Tests Performance Impact of CPU Patches on Data Centers,"Intel shares information on the performance impact of the recent CPU patches on data centers, and tells customers that not just systems with Broadwell and Haswell processors reboot more frequently after firmware updates  [Read More]",cloud-security
12,https://www.securityweek.com/puresec-emerges-stealth-security-product-serverless-apps,PureSec Emerges From Stealth With Security Product for Serverless Apps,PureSec emerges from stealth with security product for serverless architectures and a guide describing the top 10 risks for serverless applications  [Read More],cloud-security
13,https://www.securityweek.com/inside-mcafees-acquisition-skyhigh-networks,Inside McAfee's Acquisition of Skyhigh Networks,What really excites McAfee SVP and CTO Steve Grobman about the Skyhigh acquisition is the ability to combine and integrate visibility into cloud threats with McAfee's existing visibility into on-premise threats.  [Read More],cloud-security
14,https://www.securityweek.com/tech-giants-address-critical-cpu-vulnerabilities,Tech Giants Address Critical CPU Vulnerabilities,"Microsoft, Amazon, ARM, Google, Apple and others have addressed the Meltdown and Spectre vulnerabilities affecting CPUs  [Read More]",cloud-security
15,https://www.securityweek.com/google-warns-doubleclick-customers-xss-flaws,Google Warns DoubleClick Customers of XSS Flaws,Google warns DoubleClick customers that some of the files provided by third-party vendors through its advertising platform can introduce XSS vulnerabilities  [Read More],cloud-security
16,https://www.securityweek.com/new-cisco-app-helps-organizations-secure-ios-devices,New Cisco App Helps Organizations Secure iOS Devices,"Cisco announces availability of Security Connector, an iOS app that gives organizations visibility and control for mobile devices  [Read More]",cloud-security
17,https://www.securityweek.com/cloud-security-startup-shieldx-networks-raises-25-million,Cloud Security Startup ShieldX Networks Raises $25 Million,"ShieldX Networks has closed a $25 million Series B round of funding with participation from new investors including FireEye founder Ashar Aziz, Dimension Data and Symantec Ventures.  [Read More]",cloud-security
18,https://www.securityweek.com/aws-launches-new-cybersecurity-services,AWS Launches New Cybersecurity Services,"Amazon Web Services (AWS) announces launch of new threat detection, IoT security, and VPC secure connectivity services  [Read More]",cloud-security
19,https://www.securityweek.com/classified-us-army-data-found-unprotected-server,Classified U.S. Army Data Found on Unprotected Server,Highly sensitive data belonging to the US Army Intelligence and Security Command (INSCOM) exposed due to unprotected AWS S3 bucket  [Read More],cloud-security
20,https://www.securityweek.com/thoma-bravo-acquires-barracuda-networks-16-billion,Thoma Bravo Acquires Barracuda Networks for $1.6 Billion,Private equity investment firm Thoma Bravo will acquire security company Barracuda Networks for $1.6 billion in cash  [Read More],cloud-security
21,https://www.securityweek.com/mcafee-acquire-casb-firm-skyhigh-networks,McAfee to Acquire CASB Firm Skyhigh Networks,McAfee announced on Monday that it has agreed to acquire cloud access security broker (CASB) Skyhigh Networks for an undisclosed amount.  [Read More],cloud-security
22,https://www.securityweek.com/final-version-2017-owasp-top-10-released,Final Version of 2017 OWASP Top 10 Released,"The final version of the ‘OWASP Top 10 - 2017’ has been released, and CSRF and unvalidated redirects didn’t make the list  [Read More]",cloud-security
23,https://www.securityweek.com/drone-maker-dji-researcher-quarrel-over-bug-bounty-program,"Drone Maker DJI, Researcher Quarrel Over Bug Bounty Program",Chinese drone maker DJI and a researcher are in an online battle – which could also turn into a legal battle – over the company’s bug bounty program  [Read More],cloud-security
